kharada,english
ಅವನು ನೀರು ಕುಡಿಯುತ್ತಾನೆ,he drinks water
ನನಗೆ ಪುಸ್ತಕ ಕೊಡಿ,give me book
ಅವಳು ಬಾಗಿಲು ತೆಗೆಯುತ್ತಾಳೆ,she opens door
ಅವನು ಚಹಾ ಕುಡಿಯುತ್ತಾನೆ,he drinks tea
ಇದು ದೊಡ್ಡ ಸಮಸ್ಯೆ,this is big problem
ಅದು ತಪ್ಪು ನಿರ್ಧಾರ,that is wrong decision
ನನಗೆ ಸ್ವಲ್ಪ ನೀರು ಕೊಡಿ,give me water
ಅದು ಹಳೆಯ ಮನೆ,that is old house
ನಾವು ಆಟ ಆಡುತ್ತಿದ್ದೇವೆ,we are playing
ನಾವು ಆಟ ಆರಂಭಿಸೋಣ,let us start game
ನೀನು ಇಲ್ಲಿ ಉಳಿಯು ಈಗ,stay here now
ಅವಳು ಪುಸ್ತಕ ಓದಿದಳು,she read book
ಅವನು ಕೆಲಸ ಪ್ರಾರಂಭಿಸಿದ,he started work
ಅವಳು ಹಾಡು ಕೇಳುತ್ತಾಳೆ,she listens song
ನನಗೆ ಚಹಾ ಬೇಕು,i want tea
ನಾವು ಇಂದು ಓದೋಣ,let us study today
ಅವನು ಪುಸ್ತಕ ಓದಿದ,he read book
ನೀವು ಉತ್ತರ ಕೊಡಿ,give the answer
ನೀನು ನನ್ನನ್ನು ಕೇಳು,listen to me
ಅವನು ಬೇಗ ಓಡಿದ,he ran fast
ನನಗೆ ಪ್ರಶ್ನೆ ಕೇಳು,ask me question
ನೀನು ಬೇಗ ನಡೆ,walk fast
ನಾವು ಈಗ ಹೋಗೋಣ,let us go now
ಪುಸ್ತಕ ತೆರೆದು ಓದಿ,open book read
ಅದು ಬಹಳ ಸುಂದರ,that is very beautiful
ಅವಳು ನೀರು ಸುರಿಸಿದಳು,she poured water
ನೀರು ಕೊಡಿ ನನಗೆ,give me water
ಅವನು ಶಾಲೆಯಲ್ಲಿ ಓದುತ್ತಾನೆ,he studies school
ನಾವು ಸಿನಿಮಾ ನೋಡುತ್ತೇವೆ,we watch movie
ಬೇಗ ಮನೆಗೆ ಹೋಗು,go home fast
ನಾವು ಬೇಗ ಬರುವೆವು,we will come fast
ಅವಳು ಮನೆಗೆ ಹೋಗಿದಳು,she went home
ನನಗೆ ಸಹಾಯ ಸಿಕ್ಕಿತು,i got help
ನನಗೆ ನೀರು ಬೇಕು,i need water
ಅವನು ಬೇಗ ನಡೆಯುತ್ತಾನೆ,he walks fast
ಅವನು ಪತ್ರ ಕಳುಹಿಸಿದನು,he sent letter
ಅವನು ಶಾಲೆಗೆ ಹೋಗುತ್ತಾನೆ,he goes school
ನಾವು ಮನೆ ಕಟ್ಟೋಣ,let us build house
ನನಗೆ ಚಹಾ ಕೊಡಿ,give me tea
ಇದು ಹೊಸ ಮನೆ,this is new house
ನೀವು ಹೇಗಿದ್ದೀರಿ ಇಂದು,how are today
ಅವಳು ಚಿತ್ರ ಬರೆದಳು,she drew picture
ನನಗೆ ಸಂತೋಷ ಇದೆ,i am happy
ನಾವು ಬೇಗ ಹೋಗೋಣ,let us go fast
ನನಗೆ ನೀರು ಕೊಡಿ,give me water
ನಾವು ಕೆಲಸ ಮುಂದುವರಿಸೋಣ,let us continue work
ನೀನು ಇಲ್ಲಿ ಬಾ,you come here
ಅವಳು ಶಾಲೆಗೆ ಬಂದಳು ಇಂದು,she came school today
ಇದು ಸುಲಭ ಕೆಲಸ,this is easy
ಇಲ್ಲಿ ಕುಳಿತುಕೊಳ್ಳಿ ದಯವಿಟ್ಟು,sit here please
ಇದು ಬಹಳ ಚೆನ್ನಾಗಿದೆ,this is very good
ಅವನು ಪತ್ರ ಓದಿದ,he read letter
ಅದು ಚಿಕ್ಕ ಮರ,that is small tree
ನೀವು ನನ್ನ ಮನೆಗೆ ಬನ್ನಿ,come to home
ಅವಳು ಸಂತೋಷವಾಗಿ ನಗುತ್ತಾಳೆ,she smiles happily
ನಾವು ಹೊಸದನ್ನು ಕಲಿಯೋಣ,let us learn new
ನೀವು ಸತ್ಯ ಹೇಳಿ,tell truth
ಅವನು ಮನೆಗೆ ಹಿಂತಿರುಗಿದನು,he returned home
ನೀವು ಪ್ರಶ್ನೆ ಕೇಳಿರಿ,ask question
ನಾವು ಕೆಲಸ ಮುಗಿಸಿದ್ದೇವೆ,we finished work
ನಾವು ಮನೆ ಸ್ವಚ್ಛ ಮಾಡೋಣ,let us clean house
ಅವಳು ನನ್ನನ್ನು ನೋಡಿದಳು,she saw me
ಅವನು ನನಗೆ ಸಹಾಯ ಮಾಡಿದ,he helped me
ಅವನು ಶಾಲೆಗೆ ಹೋದನು,he went school
ನೀನು ನನ್ನ ಸ್ನೇಹಿತನು,you are my friend
ಅವಳು ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾಳೆ,she is working
ನಾವು ಹಾಡು ಹಾಡೋಣ,let us sing song
ನಾವು ಪುಸ್ತಕ ಓದುತ್ತೇವೆ,we read book
ಅವಳು ಊಟ ತಯಾರಿಸಿದಳು,she prepared food
ಅವಳು ಶಾಲೆಗೆ ಹೋಗುತ್ತಾಳೆ,she goes school
ಅವಳು ಹಣ್ಣು ತಿನ್ನುತ್ತಾಳೆ,she eats fruit
ಅವನು ಅದನ್ನು ತೆಗೆದುಕೊಂಡನು,he took that
ಅವನು ನನಗೆ ಕರೆಮಾಡಿದ,he called me
ನನಗೆ ಇದು ಇಷ್ಟ,i like this
ನೀನು ನನ್ನ ಸ್ನೇಹಿತ,you my friend
ಅವನು ಶಾಲೆ ಬಿಡಿಸಿದ,he left school
ಊಟ ಸಿದ್ಧವಾಗಿದೆ ಈಗ,food is ready
ಅವನು ಸತ್ಯ ಹೇಳಿದನು,he told truth
ನೀವು ಏನು ಮಾಡುತ್ತೀರಿ ಇಂದು,what are doing today
ನನಗೆ ನಿನ್ನ ಮಾತು ಅರ್ಥ,i understand you
ಅವನು ಉತ್ತರ ಕೊಟ್ಟ,he gave answer
ಇದು ಒಳ್ಳೆಯ ದಿನ,this is good day
ಅವಳು ಶಾಲೆಗೆ ಬರುತ್ತಾಳೆ,she comes school
ಅದು ದೊಡ್ಡ ಮರ,that is big tree
ಅವನು ಮನೆ ಸ್ವಚ್ಛ ಮಾಡಿದ,he cleaned house
ಅವಳು ಕೆಲಸ ಮುಗಿಸಿದಳು,she finished work
ಅವನು ಕೆಲಸ ಪ್ರಾರಂಭಿಸಿದನು,he started work
ಅವನು ಹಣ ತಂದುಕೊಟ್ಟನು,he brought money
ಇದು ತುಂಬಾ ಸರಳ,this is very simple
ನಾವು ಪುಸ್ತಕ ಓದಿದ್ದೇವೆ,we read book
ನಾವು ಕೆಲಸ ಮಾಡಿದೆವು,we did work
ನೀವು ಸತ್ಯ ಹೇಳಿ,tell the truth
ನೀವು ಸಿದ್ಧರಾಗಿದ್ದೀರಾ,are you ready
ನನಗೆ ಹಣ ಇಲ್ಲ,i have no money
ಇದು ಸುಲಭ ಕೆಲಸ,this is easy work
ನಾವು ನಾಳೆ ಭೇಟಿಯಾಗೋಣ,let us meet tomorrow
ಅವಳು ಶಾಲೆ ಬಿಡಿದಳು,she left school
ನೀವು ಹೇಗಿದ್ದೀರಿ,how are you
ನಾವು ಗೆಲ್ಲೋಣ ಇಂದು,let us win today
ನೀವು ಸಮಯ ನೋಡಿರಿ,check the time
ಅವನು ಸತ್ಯ ಹೇಳುತ್ತಾನೆ,he tells truth
ಅದು ನಿನ್ನ ಬ್ಯಾಗ್,that is your bag
ಬೇಗ ಓಡಿ ಬನ್ನಿ,run and come
ನೀನು ಪುಸ್ತಕ ತಂದುಕೊ,bring book please
ಅವನು ಶಾಲೆ ಆರಂಭಿಸಿದನು,he started school
ನಾವು ಸ್ನೇಹಿತರಾಗೋಣ,let us be friends
ಅವನು ಶಾಲೆ ಬಿಟ್ಟನು,he left school
ಅವನು ಬಾಗಿಲು ಮುಚ್ಚಿದನು,he closed door
ನೀವು ಸಿದ್ಧರಾಗಿರಿ,be ready
ಅದು ಹಳೆಯ ಪುಸ್ತಕ,that is old book
ಅವನು ಹಣ ಕೊಟ್ಟ,he gave money
ಇಲ್ಲಿ ನಿಲ್ಲಿ ದಯವಿಟ್ಟು,stand here please
ಅದು ಕಷ್ಟ ಪ್ರಶ್ನೆ,that is tough question
ನನಗೆ ನಿದ್ರೆ ಬರುತ್ತಿದೆ,i feel sleepy
ಅವಳು ಬಾಗಿಲು ತೆರೆದಳು,she opened door
ಅವಳು ಚೆನ್ನಾಗಿ ಮಾತನಾಡುತ್ತಾಳೆ,she speaks well
ಅವಳು ಶಾಲೆಯಲ್ಲಿ ಓದುತ್ತಾಳೆ,she studies school
ಅವನು ಶಾಲೆ ಸೇರಿದ್ದನು,he joined school
ನಾವು ಹಾಡು ಕೇಳೋಣ,let us listen song
ಅವನು ಶಾಲೆ ಬಿಟ್ಟ,he left school
ಅವಳು ಶಾಲೆಗೆ ಹೋಗುತ್ತಾಳೆ ಇಂದು,she goes school today
ನಾವು ಆಟ ಆಡೋಣ ಇಂದು,let us play today
ಅವಳು ಚಹಾ ಮಾಡುತ್ತಾಳೆ,she makes tea
ನೀನು ಸತ್ಯ ಹೇಳು,tell the truth
ಅವನು ಬಾಗಿಲು ತೆರೆದನು,he opened door
ನನಗೆ ಉತ್ತರ ತಿಳಿದಿದೆ,i know answer
ನಾವು ಪ್ರಶ್ನೆ ಕೇಳೋಣ,let us ask question
ನನಗೆ ವಿಶ್ವಾಸ ಇದೆ,i have faith
ಅದು ಹಳೆಯ ಮರ,that is old tree
ನನಗೆ ಸಹಾಯ ಬೇಕಾಗಿದೆ,i need help
ನಾವು ಆಟ ಗೆದ್ದೆವು,we won game
ಅವಳು ನನ್ನನ್ನು ಕರೆಯಿತು,she called me
ನಾನು ಶಾಲೆಗೆ ಹೋಗುವೆ,i go school
ನಾವು ಹಾಡು ಕೇಳೋಣ,let us listen
ಇದು ಸರಿಯಾಗಿದೆ ಈಗ,this is correct
ಅವನು ಮನೆಗೆ ಬರುತ್ತಾನೆ,he comes home
ಇಲ್ಲಿ ನಿಲ್ಲಿ ಈಗ,stand here now
ನಾವು ಮನೆಗೆ ಹಿಂತಿರುಗೋಣ,let us return home
ಇದು ಒಳ್ಳೆಯ ಅವಕಾಶ,this is good opportunity
ನನಗೆ ಹಣ ಬೇಕಾಗಿದೆ,i need money
ಅವಳು ಊಟ ಮಾಡುತ್ತಾಳೆ,she cooks food
ನಾವು ಗೆಳೆಯರು ಎಲ್ಲರು,we are friends
ನೀನು ನನ್ನನ್ನು ನಂಬು,trust me
ನೀನು ನನ್ನ ಜೊತೆ ಇರು,stay with me
ನೀವು ಒಳಗೆ ಬನ್ನಿ,come inside
ನೀನು ನನ್ನ ಜೊತೆ ಬಾ,come with me
ನನ್ನಿಗೆ ಹಣ ಬೇಕು,i need money
ಇದು ನನ್ನ ಸ್ನೇಹಿತ,this is my friend
ಅವನು ಬಾಗಿಲು ಮುಚ್ಚುತ್ತಾನೆ,he closes door
ಅವನು ಪತ್ರ ಬರೆದನು,he wrote letter
ನಾವು ಈಗ ಆರಂಭಿಸೋಣ,let us start now
ಬೇಗ ಬನ್ನಿ ಇಲ್ಲಿ,come here soon
ಅವನು ಕೆಲಸ ಮಾಡುತ್ತಾನೆ,he works
ನೀವು ಇಲ್ಲಿ ಕಾಯಿರಿ,wait here
ನನಗೆ ಕಾಫಿ ಬೇಕು,i want coffee
ನನಗೆ ಭಯವಾಗುತ್ತಿದೆ,i feel afraid
ನೀನು ಬೇಗ ಬಾ,come quickly
ನಾವು ಮನೆಗೆ ಹೋಗೋಣ,let us go home
ಅವಳು ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ,she works
ಇದು ನನ್ನ ಪುಸ್ತಕ,this is my book
ನನಗೆ ಚಹಾ ಇಷ್ಟ,i like tea
ಇಲ್ಲಿ ಶಾಂತವಾಗಿರಿ ದಯವಿಟ್ಟು,be calm here
ನೀವು ನನ್ನನ್ನು ನೋಡಿ,look at me
ಬಾಗಿಲು ತೆರೆದು ಬಿಡಿ,open the door
ಅವಳು ಚೆನ್ನಾಗಿ ನಗಿದಳು,she smiled well
ಅದು ಕಷ್ಟ ಪ್ರಶ್ನೆ,that is hard question
ಅವಳು ನನ್ನನ್ನು ಭೇಟಿಯಾದಳು,she met me
ನಾವು ಸಿನಿಮಾ ನೋಡೋಣ,let us watch
ನನಗೆ ಸಮಯ ಸಿಕ್ಕಿತು,i got time
ನೀನು ಬಾಗಿಲು ತೆರೆ,open the door
ನೀನು ನನ್ನ ಸ್ನೇಹಿತ,you are my friend
ನನಗೆ ಸ್ವಲ್ಪ ವಿಶ್ರಾಂತಿ ಬೇಕು,i need rest
ಅದು ನಿನ್ನ ಪೆನ್,that is your pen
ನೀವು ಇಲ್ಲಿ ನಿಲ್ಲಿ,stand here
ಅವನು ಬಾಗಿಲು ತೆರೆದ,he opened door
ನಾನು ನಿನ್ನನ್ನು ನೆನಪಿಸುತ್ತೇನೆ,i remember you
ನಾವು ಗೆದ್ದೆವು ಇಂದು,we won today
ನಾವು ನಾಳೆ ಹೋಗೋಣ,let us go tomorrow
ಅವನು ಮನೆಗೆ ಹೋದ,he went home
ನಾವು ಬೆಳಿಗ್ಗೆ ನಡೆದುಬಂದೆವು,we walked morning
ನನಗೆ ಹೊಸ ಪುಸ್ತಕ ಬೇಕು,i need new book
ಸ್ವಲ್ಪ ಸಮಯ ಕಾಯಿರಿ,wait some time
ನಾವು ಸ್ನೇಹಿತರಾಗಿದ್ದೇವೆ,we are friends
ಇಲ್ಲಿ ಬಾ ಬೇಗ,come here fast
ನನಗೆ ನಿನ್ನ ಹೆಸರು ಗೊತ್ತು,i know your name
ನನಗೆ ಒಂದು ಪ್ರಶ್ನೆ,i have one question
ಅವನು ಕೆಲಸ ಮುಗಿಸುತ್ತಾನೆ,he finishes work
ಅವಳು ನನ್ನನ್ನು ನೋಡುತ್ತಾಳೆ,she sees me
ಅವನು ಕೆಲಸ ಮುಗಿಸಿದನು,he finished work
ನೀವು ಇಲ್ಲಿ ಕುಳಿತುಕೊಳ್ಳಿ,sit here please
ಅವಳು ಪತ್ರ ಓದುತ್ತಾಳೆ,she reads letter
ಅವಳು ಚೆನ್ನಾಗಿ ಓದುತ್ತಾಳೆ ಇಂದು,she studies well today
ನನಗೆ ಸಹಾಯ ಮಾಡು,help me
ಇದು ಒಳ್ಳೆಯ ಸುದ್ದಿ,this is good news
ನಾನು ಮನೆಗೆ ಹೋಗುತ್ತೇನೆ,i go home
ನನಗೆ ನಿನ್ನ ಮಾತು ಇಷ್ಟ,i like your words
ಅವಳು ಮನೆ ಸ್ವಚ್ಛ ಮಾಡುತ್ತಿದ್ದಾಳೆ,she is cleaning house
ನಾವು ಬೆಳಗ್ಗೆ ಓಡೋಣ,let us run morning
ಅವನು ನನಗೆ ಸಹಾಯ ಮಾಡಿದನು,he helped me
ನನಗೆ ಉತ್ತರ ಬೇಕು,i need answer
ಇದು ನನ್ನ ಬ್ಯಾಗ್,this is my bag
ನಾವು ಊಟ ಮಾಡೋಣ,let us eat
ಅವಳು ಹಾಡು ಕಲಿಯುತ್ತಾಳೆ,she learns song
ನೀನು ಸತ್ಯ ಹೇಳು ಈಗ,tell truth now
ಅವಳು ಹಣ್ಣು ಕತ್ತರಿಸಿದಳು,she cut fruit
ಅವನು ಹಣ ಕೊಟ್ಟನು,he gave money
ನನಗೆ ಹಸಿವು ಆಗಿದೆ,i am hungry
ಅವನು ಸತ್ಯ ಹೇಳಿದ,he told truth
ಶುಭೋದಯ ಎಲ್ಲರಿಗೆ,good morning everyone
ನಾನು ಮನೆ ಸ್ವಚ್ಛ ಮಾಡಿದೆ,i cleaned house
ನೀವು ನನ್ನನ್ನು ಕೇಳಿ,listen to me
ನೀವು ಸಿದ್ಧರಾಗಿ ಈಗ,be ready now
ಅವಳು ಮನೆ ಸ್ವಚ್ಛ ಮಾಡಿದಳು,she cleaned house
ಅವನು ಮನೆ ಕಟ್ಟಿದನು,he built house
ನಾವು ಕೆಲಸ ಮಾಡುತ್ತೇವೆ,we do work
ನನಗೆ ನಿನ್ನ ಸಹಾಯ ಬೇಕು,i need your help
ನನಗೆ ಪ್ರಶ್ನೆ ಇದೆ,i have question
ಅವಳು ಶಾಲೆಗೆ ಹೋದಳು,she went school
ಇದು ಹೊಸ ಪುಸ್ತಕ,this is new book
ಅವಳು ಹಾಡು ಹಾಡಿದಳು,she sang song
ನೀನು ನಿಜ ಹೇಳು,tell truth
ನಾನು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,i read book
ನಾನು ಇಲ್ಲಿ ಇದ್ದೇನೆ,i am here
ನನಗೆ ನಿದ್ರೆ ಬೇಕು,i need sleep
ಇದು ದೊಡ್ಡ ಮನೆ,this is big house
ನಾವು ಈಗ ಓಡೋಣ,let us run now
ಅವಳು ಮನೆ ಕಟ್ಟಿದಳು,she built house
ಅದು ನಮ್ಮ ಊರು,that is our village
ನನಗೆ ಸಹಾಯ ಮಾಡಿರಿ,help me
ಅವನು ನನ್ನನ್ನು ಕರೆದನು,he called me
ಅವನು ನನಗೆ ಸಹಾಯ ಮಾಡುತ್ತಾನೆ,he helps me
ನೀವು ಇಲ್ಲಿ ಉಳಿಯಿರಿ,stay here please
ಅವಳು ಶಾಲೆಗೆ ಬಂದಳು,she came school
ನನಗೆ ಹಣ್ಣು ಇಷ್ಟ,i like fruit
ನಾವು ಕೆಲಸ ಮಾಡೋಣ,let us do work
ಅವಳು ಸಂತೋಷವಾಗಿ ಮಾತನಾಡುತ್ತಾಳೆ,she speaks happily
ಅವನು ಮನೆ ಕಟ್ಟುತ್ತಾನೆ,he builds house
ನಾನು ಶಾಲೆಗೆ ಬರುತ್ತೇನೆ,i come school
ನನಗೆ ಸಂತೋಷವಾಗಿದೆ ಇಂದು,i am happy
ಬೇಗ ಉತ್ತರ ಕೊಡು,give answer fast
ಇದು ಸರಿಯಾದ ಮಾರ್ಗ,this is right way
ನಾವು ಕೆಲಸ ಆರಂಭಿಸೋಣ,let us start work
ಅವನು ಶಾಲೆಗೆ ಬರುತ್ತಾನೆ,he comes school
ಅವನು ಕೆಲಸ ಮುಗಿಸಿದ,he finished work
ಅವಳು ಶಾಲೆ ಮುಗಿಸಿದಳು,she finished school
ನೀನು ಬಾಗಿಲು ಮುಚ್ಚು,close the door
ನೀವು ಶಾಂತವಾಗಿರಿ,be calm
ನನಗೆ ಸಮಯ ಇದೆ,i have time
ಇದು ಸರಿಯಾದ ಉತ್ತರ,this is correct answer
ನನಗೆ ಸಮಯ ಬೇಕಾಗಿದೆ,i need time
ನಾವು ಆಟ ಆಡುತ್ತೇವೆ,we play game
ಅವನು ಕೆಲಸ ಹುಡುಕುತ್ತಾನೆ,he seeks job
ಅವಳು ಹಾಡು ಕಲಿತಳು,she learned song
ಇದು ಸುಲಭ ಪ್ರಶ್ನೆ,this is easy question
ನೀನು ಇಲ್ಲಿ ಉಳಿಯು,stay here please
ಅದು ಕೆಟ್ಟ ವಿಚಾರ,that is bad matter
ಅದು ದೊಡ್ಡ ಮನೆ,that is big house
ನನಗೆ ಒಂದು ಉತ್ತರ ಬೇಕು,i need one answer
ನೀವು ಸತ್ಯ ಹೇಳಿದ್ದೀರಿ,you told truth
ನನಗೆ ಹಣ ಸಿಕ್ಕಿತು,i got money
ನೀವು ನನ್ನ ಮನೆಗೆ ಬನ್ನಿ,come to my home
ಇದು ಹೊಸ ಪೆನ್,this is new pen
ನನಗೆ ನಿನ್ನ ಸಹಾಯ ಸಿಕ್ಕಿತು,i got your help
ನನಗೆ ಸಹಾಯ ಬೇಕು,i need help
ಅವಳು ಪುಸ್ತಕ ತರುತ್ತಾಳೆ,she brings book
ನನಗೆ ಸಮಯ ಇಲ್ಲ,i have no time
ಅವನು ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾನೆ,he is working
ಅವನು ಪತ್ರ ಓದಿದನು,he read letter
ನಾನು ಬೆಳಗ್ಗೆ ಎದ್ದೆ,i woke up morning
ಅವಳು ಚೆನ್ನಾಗಿ ನಗುತ್ತಾಳೆ,she smiles well
