kharada,English
ಮುಕ್ಕ ಉತ್ತರ ಮೇಳ್ಹ,I got answer
ತೋ ಘರಾಣಿ ಆಯ್ಲೊ,He returned home
ತೆತ್ತ ಶಾಲೆ ಸರ್ಲ,She finished school
ಅಮ್ಮಿ ನವೆ ಶಿಕ್ಯ,Let us learn new
ಸತ್ಯ ಸಾಂಗ,Tell truth
ಯೇ ರೋಕ ಅವಕಾಶ,This is good opportunity
ತೇ ಪ್ರಶ್ನೆ ಕಷ್ಟ ಅಶ್ಶಿಲ,That is tough question
ಮಜ್ಜೆಣಿ ಏಕ ಪ್ರಶ್ನೆ ಅತ್ಸ,I have one question
ತೆಣ ಮುಕ್ಕ ಉಲ್ಲದಿಲ್ಲ,He called me
ತೆಣೆ ಉದೋ ಘಲ್ಹ,She poured water
ಅಮ್ಮಿ ಪುಸ್ತಕ ಹಡ್ರಿ,We bring book
ತುಮ್ಮಿ ಬಾಗಿಲ ಕಡ್ಯ,Open the door
ಮುಕ್ಕ ಸಹಾವು ಮೇಳ್ಹ,I got help
ತೆಣ ಪತ್ರ ಬಾಳೆಲ್ಲ,He sent letter
ತೀ ರೋಕಾ ಕಾರ್ನ್ನು ಉಲ್ಲೇರಾ,She speaks well
ಅಮ್ಮಿ ಅತ್ತ ಶುರು ಕರ್ಯ,Let us start now
ಹವೆ ಮಣಪ ಐಕ,Listen to me
ಏ ಹೊಳ್ಳ ಘಾರ,This is big house
ಏ ಕುನ್ನಿ ರೂಖ,That is small tree
ಮುಕ್ಕ ಪೈಶೆ ಮೇಳ್ಳ,I got money
ತೋ ಶಾಲೆಕ ಗೆಲ್ಲೋ,He went school
ತೀ ಕೆಲಸ ಕರ್ಗನ್ನೊಟ್ಟ,She is working
ಅಮ್ಮಿ ಗೆಲ್ಪ್ಯ,Let us achieve victory
ತೂ ಹಂಗ ರಾಭ,Stand here
ಮುಕ್ಕ ನೀದ ಏರ,I feel sleepy
ತೋ ಚಾಯ ಪೀರ,He drinks tea
ತೀ ರೋಕಾ ಕಾರ್ನು ಹಾಸರ,She smiles happily
ಅಮ್ಮಿ ಘಾರ ಬಂದ್ಯ,Let us build house
ವೆಗ್ಗಿ ಯೋ,Come quickly
ಎ ನವೇ ಘಾರ,This is new house
ಎ ಪೋರ್ನ್ ಪುಸ್ತಕ,That is old book
ಮುಕ್ಕ ತುತ್ತ ಸಹಾಯ ದಾಯೇ,I need your help
ಮತ್ತ ಕೆಲಸ ಸಾರ್ಲ,He finished work
ತೀ ಶಾಲೆಕ ಏರ,She comes school
ಏಕ ಪದ್ಯ ಸಂಗ್ಯಾ,Let us sing song
ತೂ ಪ್ರಶ್ನೆ ವಿತಾರಿ,Ask question
ಮುಕ್ಕ ಇದ್ದು ವೇಳು ದಾಯೆ,I need time
ತೆಣ ಬಾಗಿಲ ಘಲ್ಲ,He closed door
ತೀ ಪತ್ರ ವಾಚಿರ,She reads letter
ಅಮ್ಮಿ ಅತ್ತ ಓಚ್ಯ,Let us go now
ತೂ ಮತ್ತ ಸ್ನೇಹಿತ,You are my friend
ಏ ಸಮದಲ್ಲ ಮಾರ್ಗು,This is right way
ತೇ ತಪ್ಪು ಉತ್ತರ,That is wrong answer
ಮುಕ್ಕ ಪುಸ್ತಕ ಇಷ್ಟ,I like book
ತೋ ಮುಕ್ಕ ಸಹಾವು ಕರ್ರ,He helps me
ತೀ ಘರಾಣಿ ಗೆಲ್ಲಿ,She went home
ಅಮ್ಮಿ ಕೆಲಸ ಶುರು ಕರ್ಯ,Let us start work
ಹಾವ ಸಕ್ಕಳ ಉಡ್ಕಿಲೆ,I woke up morning
ತೋ ವೆಗ್ಗಿ ಬೈಸರೋಲ್,He left early
ಆಜಿ ಅಮ್ಮಿ ಕೆಲಸ ಕರ್ಯ,Let us work today
ತುಮ್ಮಿ ಹಂಗ ರಾಖ,Wait here
ಮುಕ್ಕ ಶೀಹೂಂಕಾರ,I feel cold
ತೀ ಉದೊ ಹಡ್ರ,She brings water
ಅಮ್ಮಿ ಪುಸ್ತಕ ವಾಂಚಿಸ,We read book
ತೂ ಬಿತರಿ ಯೋ,Come inside
ಯೇ ರೋಕ ವಿಷಯ,This is good news
ತೇ ಕುಚ್ಚಟ ವಿಷಯ,That is bad matter
ಮುಕ್ಕ ತುತ್ತ ನವ ಗೊಂತುಸ್ಸ,I know your name
ತೆಣ ಬಾಗಿಲ ಕಾಳ್ಳ,He opened door
ತೆಣೆ ಕೆಲಸ ಸಾರ್ಲ,She finished work
ತೀ ಮುಕ್ಕ ಭೇಟಿದಲ್ಲಿ,She met me
ಅಮ್ಮಿ ಪೈ ವಾಚ್ಯ,Let us study tomorrow
ತೂ ಸತ್ಯ ಸಾಂಗ,Tell truth
ಮುಕ್ಕ ಇದ್ದು ಉದೋ ದೀ,Give me water
ತೋ ಶಾಲೆಕ ಶೇರ್ಪಲೋ,He joined school
ತೀ ಹಾಡು ಅಭ್ಯಾಸ ಕರ್ರ,She practices song
ಅಮ್ಮಿ ಘರಾಣಿ ಪರ್ತುನು ಒಚ್ಯಾ,Let us return home
ವೆಗ್ಗಿ ಚೌನ್ಕ್ಯಾ,Walk fast
ಏ ನವೆ ಪ್ರಶ್ನೆ,This is new question
ತೇ ಸಮದಲ್ಲ ಸಮಯ,That is right time
ಮುಕ್ಕ ಏಕ ಉತ್ತರ ದಾಯೆ,I need one answer
ತೆಣ ಮುಕ್ಕ ಪಳೆಲ್ಲೊ,He saw me
ತೆಣೆ ಆಜಿ ಪತ್ರ ಬರೇಲ್ಲ,She wrote letter today
ಅಮ್ಮಿ ಖೇಳು ಶುರು ಕರ್ಯ,Let us start game
ಹಂಗ ಭಡ್ಕ್ಯ,Sit here now
ಸಹಾವು ಕಾರಿ,Help me
ತೆನ ಪೈ ಶೆ ಹಾಣುದಿಲ್ಲ,He brought money
ತೀ ಘಾರ ಸ್ವಚ್ಛ ಕರ್ನ್ಗನ್ನೊಟ್ಟ,She is cleaning house
ಅಮ್ಮಿ ವೆಗ್ಗಿ ಗೆಲ್ಲಿ,We went fast
ಮಜ್ಜಂಗತ ರಾಭ,Stay with me
ಏ ಸುಲಭ ಕೆಲಸ,This is simple work
ಏ ಹೊಳ್ಳ ಅವಕಾಶು,That is big opportunity
ಮುಕ್ಕ ತುತ್ತ ಉಲ್ಲಣೆ ಇಷ್ಟ,I like your words
ತೋ ಚಾಯೆ ಕರ್ರ,He makes tea
ತೆಣೆ ಶಾಲೆ ಸೊಳ್ಳ,She left school
ಅಮ್ಮಿ ಅತ್ತ ಧೌವ್ಯ,Let us run now
ಅಮ್ಮಿ ಅತ್ತ ಧೊವ್ಯ,Ask question
ಅಜಿ ಮುಕ್ಕ ಬುರ್ಸೋತು ಮೇನ್ನೆ,I got no time
ತೆಣ ಪತ್ರ ಬಳೇಲ್ಲ,He sent letter today
ತೀ ಖುಷೀನೆ ಉಲ್ಲೇರ,She speaks happily
ಅಮ್ಮಿ ಕೆಲಸ ಸಾರ್ಯ,Let us finish work
ತುವೆ ಸಮ ಸಂಗಿಂಸ,You said right
ಏ ರೋಕು ಅವಕಾಶು,This is good opportunity
ತೇ ಕಷ್ಟ ಪ್ರಶ್ನೆ,That is tough question
ತುತ್ತ ಸಹಾವು ಮುಕ್ಕ ಮೇಳ್ಳ,I got your help
ನಮಸ್ಕಾರು ಸ್ನೇಹಿತಾ,Hello friend
ಒಟ್ಟುಲಾಂಕಿಲೆ ಶುಭ ಮುಂಜಾನೆ,Good morning everyone.
ತೂ ಕಸ ಒಟ್ಟ,How are you?
ಹಾವ ಉಷ್ಹಾರಿ ಒಟ್ಟ,I am fine.
ಹಂಗ ಯೋ ವೆಗ್ಗಿ,Come here quickly.
ಬಾಗಿಲ ದಾಂಪಿ ಅತ್ತ,Close the door now.
ಪುಸ್ತಕ ಉಘನ್ನು ವಾಚಿ,Open the book and read.
ಮಜ್ಜಂಗತ ಯೋ,Come with me.
ತೋ ಘರಾಣಿ ಗೆಲ್ಲೊ,He went home.
ಅಮ್ಮಿ ಖೇಳು ಖೇಲ್ಯ,Let us play a game.
ಮುಕ್ಕ ಉದೊ ದೀ,Give me water.
ಹಾವ ಶಾಲೆಕ ವೇರ,I will go to school.
ಇದ್ದು ವೇಳು ರಾಖ,Please wait for some time.
ಹವಾ ಸಂಗಪ ಐಕ,Listen to me.
ಏ ಮತ್ತ ಘಾರ,This is my house.
ಏ ಮತ್ತ ಪುಸ್ತಕ,That is your book.
ಕೋಣ ಥೈ ಒಟ್ಟ,Who is there?
ಆಜಿ ಅಮ್ಮಿ ಗೆಲ್ಪರಿ,We will win today.
ಮುಕ್ಕ ಸಹಾವು ದಾಯೆ,I need help.
ತೆಣ ಕೆಲಸ ಸಾರ್ಲ,He finished the work.
ತೂ ಖೈ ವೇರ,Where are you going?
ದಮ್ಮಯ್ಯ ಹಂಗ ಭಡ್ಕ,Please sit here.
ಮುಕ್ಕ ಸೋ ದಾರ,I am hungry.
ತೆಣೆ ಉದೊ ಪೀಲ,She drank water.
ವೆಗ್ಗಿ ದ್ಹೌನು ಯೋ,Run and come quickly.
ಅಮ್ಮಿ ಸಿನಿಮಾ ಪಳೋವ್ಯ,Let us watch a movie.
ಅತ್ತ ಸಮ ದಲ್ಲ,It is okay now.
ಮುಕ್ಕ ನೀಡ ಏರ,I feel sleepy.
ತೋ ಮತ್ತ ಸ್ನೆಹಿತೋ,He is my friend.
ತೂ ಕೆಶ್ಶ ಕರ್ರ,What are you doing?
ಬಾಗಿಲ ಕಾಣ್ಣು ಸೋಡಿ,Please open the door.
ಹವೆ ಪುಸ್ತಕ ಹಳ್ಹ,I brought a book.
ತೆಣೆ ಘಾರ ಕ್ಲೀನ್ ಕೆಲ್ಲಹ,She cleaned the house.
ಅಮ್ಮಿ ಹಾಡು ಅಯಕ್ಯ,Let us listen to a song.
ಮುಕ್ಕ ಚಾಯ ಧಾಯೆ,I want tea.
ಏ ಭರ್ತಿ ರೋಕ ಅಸ್ಸ,This is very good.
ತೋ ಶಾಲೇ೦ಟು ಬೈಸರ್ಲೊ,He left school.
ತೂ ಖನ್ನ ತರಗತಿ,Which class are you in?
ತೂ ವೆಗ್ಗ ಯೋ ಹ೦ಗಚಾಕ,Come here quickly.
ಮುಕ್ಕ ಪೈಶೆ ದಾಯೆ,I need money.
ತೀ ಹಾಸುಗಣ್ಣು ಒಟ್ಟ,She is smiling now.
ಅಮ್ಮಿ ಜವ್ಯ,Let us eat food.
ತೂ ಸತ್ಯ ಸಾ೦ಗ,Tell the truth.
ಏ ನವೆ ಬೇಗ,This is a new bag.
ತೆಣ ಪತ್ರ ಬರೆಲ್ಹ,He wrote a letter.
ತೂ ಮುಕ್ಕ ಪೋಳೆ,Look at me.
ವೆ ಗಿ ಉತ್ತರ ದೀ,Give the answer quickly.
ಹವೆ ಘಾರ್ರ ಕ್ಲೀನ್ ಕೆಲ್ಹ,I cleaned the house.
ತೀ ಶಾಲೇಕ ಅಯಿಲ್,She came to school.
ಏಕ ಪ್ರಶ್ನೆ ವಿತರುನ ಶಿಲ,I have a question.
ತೆ ಣ ಸತ್ಯ ಸಂಗೀಲ,He told the truth.
ಹಂಗ ರಾಭ,Stay here.
ಏ ಮತ್ತ ಪೆನ್ನ,This is my pen.
ತೆ ಣೆ ಹಣ್ಣು ಖಾಲ್ಹ,She ate fruit.
ಅಮ್ಮಿ ಕೆಲಸ ಪ್ರಾರಂಭ ಕಾರ್ಯ,Let us start the work.
ಹಾವ ಆಜಿ ಖುಷಿನೇ ಬಿಟ್ಟ,I am happy today.
ತೋ ವೇಗ್ಗಿ ಧಾವಲೂ,He ran fast.
ತುತ್ತ ಜವಣ ದಲ್ಲಾ,Did you eat food?
ಹಂಗ ಉಲ್ಲೆನಸ ರಭ್ಯ,Please stay quiet here.
ಮುಕ್ಕ ತುತ್ತ ಊಡಸು ಏರ,I remember you.
ತೆಣ ಹಾಡು ಶಿಕ್ಕಿಲ,She learned a song.
ಅಮ್ಮಿ ಸಕ್ಕಳ ಚೌನ್ಕುನು ಅಯ್ಲಿ,We walked in the morning.
ಮುಕ್ಕ ಉತ್ತರ ಗೊತ್ತೂಂತ,I know the answer.
ತೋ ಪುಸ್ತ್ರಕ ವಾಚಿರ,He reads a book.
ತುಮ್ಮಿ ಮತ್ತ ಘರಾಣಿ ಯಾ,Come to my house.
ಏ ಸುಲಭ ಕೆಲಸ,This is an easy task.
ತೆಣ ಏಕ ಚಿತ್ರ ಕೆಲ್ಹ,She drew a picture.
ಅಮ್ಮಿ ಖೇಳು ಗೆಲ್ಪಲಿ,We won the game.
ಮುಕ್ಕ ಪುರ್ಸೊತು ನಾ,I have no time.
ತೆಣ ಚಾಯ ಪೀಲ,He drank tea.
ಹಂಗಾಚಿ ರಾಭ,Please stand here.
ಹಾವ ಸತ್ಯ ಸಂಗರ,I tell the truth.
ತೆ ಣೆ ಪತ್ರ ವಾಚಿಲ,She read the letter.
ಅಮ್ತ ಸ್ನೇಹ ಬರೋಗ ನ್ಯಾ,Let us keep our friendship.
ಮುಕ್ಕ ಪುಸ್ತಕ ಮಲ್ಹರಿ ಎಷ್ಟ,I like books.
ತೆಣ ಘಾರ ಬಂದಿಲ,He built a house.
ಹವೆ ಮಲ್ಹ ಅಯ್ಕ,Listen to me.
ವೆಗ್ಗಿ ಘರಾಣಿ ವೋಚ,Go home quickly.
ಹಾವ ಕೆಲಸ ಸೊದ್ದುನ್ಗ ಣ್ಣು ಒಟ್ಟ,I am looking for a job.
ತೆನೆ ಬಾಗಿಲ ಕಾಳ್ಳ,She opened the door.
ತೆಣ ಮುಕ್ಕ ಸಾಹವು ಕೆಲ್ಲ,He helped me.
ತೋ ಶಾಲೆಕ ವೇರ,He goes to school.
ತೀ ಘರಾಣಿ ಅಯ್ಲಿ,She came home.
ಅಮ್ಮಿ ಕೆಲಸ ಕರ್ರಿ,We work.
ಅತ್ತ ತುಮ್ಮಿ ಕಸಒಟ್ಟಿ,How are you today?
ಮುಕ್ಕ ಶೀನ್ಕಾರ,I feel cold.
ತೋ ಉದೊ ಹಡ್ರ,He brings water.
ತೀ ರಂದಿರ,She cooks food.
ಅಮ್ಮಿ ವೆಗ್ಗಿ ಒಚ್ಯ,Let us go quickly.
ತು ಹಂಗ ಯೋ,Come here.
ಏ ಮತ್ತ ಪುಸ್ತಕ,This is my book.
ತೇ ಹೊಳ್ಳ ಘಾರ,That is a big house.
ಮುಕ್ಕ ಕಾಪಿ ದಾಯೆ,I want coffee.
ತೀ ರೋಕ ಕಾರ್ನು ಹಾಸರ,She smiles nicely.
ಅಮ್ಮಿ ಸಿನಿಮ ಪಳೇರಿ,We watch movies.
ತೂ ಕೆಶ್ಶ ಅಯ್ಕರ,What are you listening to?
ತೋ ಕೆಲಸ ಕರ್ಗಣ್ಣು ಒಟ್ಟ,He is working.
ತೀ ಶಾಲೆನ್ನು ವಾಚಿರ,She studies at school.
ಅಮ್ಮಿ ಘರಾಣಿ ಒಚ್ಚುನ್ಗಣ್ಣು ಒಟ್ಟಿ,We are going home.
ಹಂಗ ಭಡ್ಕ ಅತ್ತ,Sit here now.
ತೆಣೆ ಬಾಗಿಲ ಘಲ್ಲ,She closed the door.
ಅಮ್ಮಿ ಪದ್ಯ ಆಯ್ಕುನ್ಗಣ್ಣು ಒಟ್ಟಿ,We are listening to a song.
ಘಂಟ ಪೋಳೆ,Check the time.
ಮುಕ್ಕ ಸಾಹವು ಕಾರಿ,Help me.
ತೆಣ ಘಾರ ಕ್ಲೀನ ಕೆಲ್ಲ,He cleaned the house.
ತೆಣೆ ಪತ್ರ ಬರೇಲ್ಲ,She wrote a letter.
ಏ ಭರ್ತಿ ಸುಲಭ,This is very simple.
ತುವೆ ಸಂಗಿಲ್ಲ,I understand you.
ತೂ ಹಂಗ ರಾಖ,Please wait.
ಮುಕ್ಕ ವಿಶ್ರಾಂತಿ ದಾಯೆ,I need rest.
ತೆಣ ಹಾಣ್ಣು ದಿಲ್ಲ,He brought book.
ತೆಣೆ ಕಿಟಕಿ ಕಾಳ್ಳ,She opened window.
ಅಮ್ಮಿ ಪ್ರಶ್ನೆ ವಿತಾರ್ಯ,Let us ask question.
ತೂ ಮುಕ್ಕ ಕೋಲ್ ಕಾರಿ,Call me.
ತೇ ತಪ್ಪು ನಿರ್ಧಾರ,That is wrong decision.
ತೋ ವೆಗ್ಗಿ ಚೌನ್ಕರ,He walks fast.
ಅಮ್ಮಿ ಕೆಲಸ ಮುಂದುವರಿಸ್ಪ್ಯ,Let us continue work.
ತುಮ್ಮಿ ಬಿತರಿ ಯಾ,Come inside.
ಮುಕ್ಕ ನವೆ ಪುಸ್ತಕ ದಾಯೆ,I need new book.
ತೋ ಶಾಲೆಕ ಒಚ್ಯಾಕ ಶುರು ಕೆಲ್ಲೊ,He started school.
ತೆಣೆ ಹಣ್ಣು ಕುಟ್ಟಂಕೆಲ್ಲ,She cut fruit.
ಮುಕ್ಕ ಉತ್ತರ ಮೇಲ್ಹ,I got answer.
ತೋ ಘರಾಣಿ ಪರ್ತುನು ಗೆಲ್ಲೊ,He returned home.
ತೆತ್ತ ಶಾಲೆ ಸರ್ಲ,She finished school.
ಅಮ್ಮಿ ನವೆ ಶಿಕ್ಯ,Let us learn new.
ಏ ರೋಕ ಅವಕಾಶು,This is good opportunity.
ತೋ ರೋಕ ಕಾರ್ನು ಉಲ್ಲೇರ,She speaks well.
ಮುಕ್ಕ ಪೈಶೆ ಮೇಲ್ಹ,I got money.
ತೋ ಚಾ ಪೀರ,He drinks tea.
ಅಮ್ಮಿ ಘಾರ ಬಂದ್ಯಾ,Let us build house.
ಏ ನವೆ ಘಾರ,This is new house.
ಏ ಪೋರ್ನೆ ಪುಸ್ತಕ,That is old book.
ಮುಕ್ಕ ತುತ್ತ ಸಹಾವು ದಾಯೆ,I need your help.
ತೆಣ ಬಾಗಿಲ ಧಂಪಿಲ,He closed door.
ಏ ಸಮದಲ್ಲ ಮಾರ್ಗು,This is right way.
ತೇ ತಪ್ಪು ಉತ್ತರ,That is wrong answer.
ಹಾವ ಸಕ್ಕಲಾಂಚಿ ಉಡ್ಕಿಲೆ,I woke up morning.
ತೋ ವೆಗ್ಗಿ ಗೆಲ್ಲೊ,He left early.
ತೂ ಹಂಗಾಚಿ ರಾಖ,Wait here.
ತೀ ಉದೊ ಹಡ್ರ,She brings water.
ಅಮ್ಮಿ ಪುಸ್ತಕ ವಾಚಿರಿ,We read book.
ಬಿತರಿ ಯೋ,Come inside.
ಏ ರೋಕ ಸುದ್ದಿ,This is good news.
ಏ ಕು ಚ್ಛಟ್ಟ ವಿಚಾರ,That is bad matter.
ಮುಕ್ಕ ತುತ್ತ ನಾವ ಗೊಂತುತ್ಸ,I know your name.
ತೀ ಮುಕ್ಕ ಭೆಟಿ ದಲ್ಲಿ,She met me.
ಅಮ್ಮಿ ಪೈ ವಾಚ್ಯ,Let us study tomorrow.
ತೋ ಶಾಲೇಕ ಶೇರ್ಪ್ ಲೋ,He joined school.
ತೀ ಹಾಡು ಅಭ್ಯಾಸ ಕರ್ರ,She practices song.
ಅಮ್ಮಿ ಘರಾಕ ಪರ್ತುನು ಓಚ್ಯ,Let us return home.
ತೇ ವೆಗ್ಗಿ ಚೌಂಕ,Walk fast.
ಏ ನವೆ ಪ್ರಶ್ನೆ,This is new question.
ಮುಕ್ಕ ಏಕ ಉತ್ತರ ದಾಯೆ,I need one answer.
ತೋ ಮುಕ್ಕ ಪಳೇಲ್ಲ,He saw me.
ತೀ ಆಜಿ ಪತ್ರ ಬರೇಲ್ಲ,She wrote letter today.
ಅಮ್ಮಿ ಖೇಳು ಶುರು ಕರ್ಯ,Let us start game.
ತೆಣ ಪೈಶೆ ಹಳ್ಳ,He brought money.
ತೀ ಘಾರ ಕ್ಲೀನ್ ಕರ್ಙನ್ನೊಟ್ಟ,She is cleaning house.
ಅಮ್ಮಿ ವೆಗ್ಗಿ ಗೆಲ್ಲಿ,We went fast.
ತೂ ಮಜ್ಜ ಸಂಗತ ರಾಭ,Stay with me.
ಏ ಸುಲಭ ಕೆಲಸ,This is simple work.
ತೇ ಹೊಳ್ಳ ಅವಕಾಶ,That is big opportunity.
ಮುಕ್ಕ ತುತ್ತ ಉಲ್ಲಣೆ ಇಷ್ಟ,I like your words.
ತೋ ಚಹಾ ಕರ್ರ,He makes tea.
ಅಮ್ಮಿ ಅತ್ತ ಧೌವ್ಯ,Let us run now.
ಮುಕ್ಕ ಪುರ್ಸೋತ್ತು ನಾಶಿಲ,I got no time.
ತೋ ಆಜಿ ಪತ್ತ ಬಳೇಲ್ಹ,He sent letter today.
ತೀ ಖುಷಿನೇ ಉಲ್ಲೇರ,She speaks happily.
ತೂ ಸತ್ಯ ಸಾಂಗ ಅತ್ತ,Tell the truth now.
ತುಮ್ಮಿ ಹಂಗ ಭಡ್ಕ್ಯ,Please sit here.
ಮುಕ್ಕ ಪುರ್ಸೋತ್ತು ಆತ್ಸ,I have time.
ತೋ ಉತ್ತರ ದೇರ,He gives the answer.
ತೀ ಬಾಗಿಲ ಕಡ್ರ,She opens the door.
ಅಮ್ಮಿ ಹಾಡು ಸಂಗ್ಯ,Let us sing a song.
ಹವೆ ಮಣಪ ಆಯ್ಕ,Listen to me.
ಮುಕ್ಕ ನೀದ ಏರ,I feel sleepy.
ತೋ ಪೈಶೆ ಹಡ್ರ,He brings money.
ತೀ ಹಣ್ಣು ಖಾರ,She eats fruit.
ಅಮ್ಮಿ ಪೈ ಭೇಟಿ ದೌವ್ಯ,Let us meet tomorrow.
ತೂ ಮತ್ತ ಸ್ನೇಹಿತ,You are my friend.
ಏ ಸುಲಭ ಕೆಲಸ,This is an easy task.
ತೇ ಕಷ್ಟ ಆಶ್ಶಿಲ,That is a difficult question.
ಮುಕ್ಕ ಉತ್ತರ ದಾಯೆ,I need an answer.
ತೋ ಶಾಲೇನ್ನು ಶಿಕ್ಕರ,He studies at school.
ತೀ ಘಾರ ಸ್ವಚ್ಛ ಕರ್ರ,She cleans the house.
ಅಮ್ಮಿ ಆಜಿ ಗೆಲ್ಲ್ಯ,Let us win today.
ತೋ ಬಾಗಿಲ ಧಂಪಿರ,He closes the door.
ತೀ ಪತ್ರ ವಾಚಿರ,She reads a letter.
ಅಮ್ಮಿ ಸಕ್ಕಳ ಚೌಂಕ್ಯ,Let us walk in the morning.
ತೂ ಕೆಶ್ಶ ಕರ್ರ,What are you doing?
ಹಂಗ ರಭ್ಯ,Please stand here.
ಮುಕ್ಕ ಉದೊ ದಾಯೆ,I need water.
ತೆಣ ಪುಸ್ತಕ ವಾಚಿಲ,He read a book.
ತೀ ಆಜಿ ರೋಕ ಕಾರ್ನು ವಾಚಿರ,She studies well today.
ಅಮ್ಮಿ ಘರಾಣಿ ಒಚ್ಯಾ,Let us go home.
ತುಮ್ಮಿ ಮತ್ತ ಘರಾಣಿ ಯಾ,Come to my house.
ಮುಕ್ಕ ಚಾ ಇಷ್ಟ,I like tea.
ತೋ ಕೆಲಸ ಸಾರ್ರ,He finishes the work.
ತೀ ಸೋಂಗ್ ಶಿಕ್ಕರ,She learns a song.
ಅಮ್ಮಿ ವೆಗ್ಗಿ ಏರಿ,We will come soon.
ತೂ ಆಜಿ ಹಂಗ ರಾಭ,Stay here now.
ಏ ಹೊಳ್ಳ ಸಮಸ್ಯೆ,This is a big problem.
ತೇ ಕುಂಞಿ ಘಾರ,That is a small house.
ತೆಣ ಕಾಲ್ ಕೆಲ್ಲ,He called me.
ತೀ ಆಜಿ ಶಾಲೇಕ ಅಯ್ಲಿ,She came to school today.
ಮುಕ್ಕ ಭೇನ್ದಾರ,I feel afraid.
ತೆಣೆ ಮುಕ್ಕ ಪಳೇಲ್ಹ,She saw me.
ಅಮ್ಮಿ ಖೇಳು ಖೇಳ್ಳಿ,We played a game.
ಬಾಗಿಲ ಕಾಡಿ,Open the door.
ಏ ಮತ್ತ ಪೆನ್ನ,This is my pen.
ಏ ಮತ್ತ ಬೇಗ,That is your bag.
ಮುಕ್ಕ ಪುಸ್ತಕ ದೀ,Give me the book.
ತೋ ವೆಗ್ಗಿ ಅಯ್ಲೋ,He came quickly.
ತೀ ಘರಾಣಿ ಗೆಲ್ಲಿ,She went home.
ಹಂಗ ಭಡ್ಕ್ಯ,Sit here.
ಮುಕ್ಕ ನೀದ ದಾಯೆ,I need sleep.
ತೋ ಚಾಯ ಪೀರ,He drinks tea.
ಅಮ್ಮಿ ಅತ್ತ ಒಚ್ಯ,Let us go now.
ಎ ನವೆ ಪುಸ್ತಕ,This is a new book.
ತೇ ಪೋರ್ನೆ ರೂಖ,That is an old tree.
ತೋ ಮುಕ್ಕ ಸಹಾವು ಕರ್ರ,He helps me.
ಆಜಿ ತೀ ಶಾಲೆಕ ವೇರ,She goes to school today.
ಅಮ್ಮಿ ಘಾರ ಬಂದ್ಯ,Let us build a house.
ತೂ ಸತ್ಯ ಸಾಂಗ,Tell the truth.
ತೆಣ ಉತ್ತರ ಸಂಗಿಲ,He gave the answer.
ತೆಣೆ ಆಜಿ ಬಾಗಿಲ ಘಲ್ಲ,She closed the door today.
ಹಾವ ಘರಾಣಿ ವೇರ,I go home.
